gene	cnv_id	KMS11_CNV	MM1S_CNV	RPMI_CNV
DUSP7	3:51607294:52968763	1.66753	1.99747	2.06588
DVL2	17:7082224:7336565	1.26521	1.91588	1.7873
DYNC1LI1	3:32602641:32663078	1.65745	2.01981	2.14326
EAF1	3:14296571:15708124	1.68739	2.07287	2.08622
EBF4	20:2680955:3020321	1.65399	1.97711	2.07419
ECSCR	5:138668445:139486144	1.69358	1.99076	1.9284
EDAR	2:108282388:109763249	1.68933	2.08047	2.09757
EDEM1	3:5020455:5534507	1.65737	2.03869	2.06499
EEF1D	8:144636233:144675877	1.67689	2.05011	2.04731
EFCAB9	5:170620625:172971287	1.67686	1.96075	1.89871
EFNB3	17:7582226:7776934	1.2649	1.91588	1.7873
EGOT	3:3483773:4994260	1.65203	2.06624	2.06499
EGR1	5:137412874:138624219	1.69358	2.01947	1.92597
EIF4A1	17:7340887:7539414	1.31731	1.91588	1.7873
EIF4E1B	5:175627914:176530427	1.67425	1.96064	1.89871
EIF4EBP3	5:139920049:140083166	1.69358	1.93456	1.9284
EIF5A	17:7082224:7336565	1.26521	1.91588	1.7873
EIF5B	2:98156083:101009015	1.65462	2.05963	2.07677
ELAVL4	1:49176722:50867650	1.08512	2.00131	2.22472
ELFN1	7:1787405:1815865	1.08495	1.98679	2.18915
ELP3	8:27684902:28098308	1.69724	1.99513	1.78805
EN1	2:118863131:120622975	1.63996	1.97842	2.05722
ENO3	17:4633013:5044333	1.2158	1.93708	1.79799
EPB41L4A	5:111242232:113090174	1.68008	2.16423	2.21207
EPB41L5	2:120914585:121797376	1.63996	1.90279	2.0445
EPC2	2:149204746:150778703	1.65719	2.15171	2.13347
EPHB1	3:134537884:134729751	1.61974	2.00701	2.20755
EPHX2	8:27001430:27637303	1.69724	1.93141	1.78805
EPPK1	8:144754082:145550053	1.67689	2.15665	2.05929
EPS15	1:51564451:52254638	1.20387	2.11592	2.22512
ERCC3	2:127678163:128445127	1.64576	1.99062	2.07046
ERGIC1	5:170620625:172971287	1.67686	1.96075	1.89871
ERI1	8:8751052:8967038	1.69859	2.03346	1.80946
ERICH1	8:630085:1033751	1.64876	1.9551	1.73204
ERICH1	8:599965:624457	1.64876	1.9551	1.79637
ESCO2	8:27001430:27637303	1.69724	1.93141	1.78805
ETF1	5:137412874:138624219	1.69358	2.01947	1.92597
EXOG	3:38277483:39908110	1.66493	2.05372	2.06214
EXOSC4	8:144754082:145550053	1.67689	2.15665	2.05929
EYA4	6:133744664:133747843	1.3084	2.18204	1.80833
F12	5:176548393:177233989	1.67425	1.9784	1.88754
F2	11:46732728:46773181	1.67603	1.96974	2.22346
FABP6	5:158782556:160382802	1.68278	2.00756	1.86866
FAF2	5:175627914:176530427	1.67425	1.96064	1.89871
FAHD2A	2:95347033:97767092	1.68725	1.96244	2.04621
FAHD2B	2:95347033:97767092	1.68725	1.96244	2.04621
FAM110B	8:58137042:59438763	1.63179	2.16691	1.79694
FAM110C	2:15672:382933	1.68206	2.05421	2.04422
FAM135B	8:139111655:140252094	1.63586	2.05011	1.98137
FAM138B	2:114264452:114841912	1.69998	2.02783	2.04608
FAM150B	2:15672:382933	1.68206	2.05421	2.04422
FAM153A	5:176548393:177233989	1.67425	1.9784	1.88754
FAM153C	5:177407387:178118821	1.67594	1.9784	1.8895
FAM168B	2:131641066:132482231	1.68655	2.02338	2.1097
FAM178B	2:95347033:97767092	1.68725	1.96244	2.04621
FAM180B	11:47375476:48347141	1.67603	1.97122	1.82055
FAM182B	20:25753083:25860652	1.64264	1.73852	1.75703
FAM193B	5:176548393:177233989	1.67425	1.9784	1.88754
FAM196B	5:168917672:169435554	1.64681	2.00086	1.89657
FAM198A	3:42374907:43196701	1.66493	2.04915	2.05623
FAM19A1	3:66995632:68635435	1.68135	2.16587	2.08355
FAM203A	8:144754082:145550053	1.67689	2.15665	2.05929
FAM27A	9:45679241:45732211	1.68047	1.93226	1.9146
FAM49B	8:130532900:131061502	1.67947	2.16719	2.06821
FAM53A	4:1526110:1865869	1.67705	2.08115	1.89373
FAM53C	5:137412874:138624219	1.69358	2.01947	1.92597
FAM66A	8:12000355:12573979	1.66701	1.98006	1.78087
FAM66D	8:11985731:12000355	0.859078	1.98006	1.78087
FAM66D	8:12000355:12573979	1.66701	1.98006	1.78087
FAM83H	8:144754082:145550053	1.67689	2.15665	2.05929
FAM86B1	8:12000355:12573979	1.66701	1.98006	1.78087
FAM86B2	8:12000355:12573979	1.66701	1.98006	1.78087
FAM86DP	3:75326622:75579172	1.67337	1.96064	2.19262
FAM90A25P	8:12000355:12573979	1.66701	1.98006	1.78087
FBLL1	5:167951658:168170080	1.66882	1.94646	1.89657
FBLN2	3:13325280:14178112	1.68843	2.07287	2.0475
FBLN7	2:112890776:113041953	1.18521	2.10071	2.0516
FBN2	5:127415641:129655698	1.68439	2.26294	1.94425
FBXL21	5:135276757:135307439	1.60996	2.26762	1.90462
FBXL6	8:145562163:145755043	1.67689	2.10329	2.05929
FBXO16	8:28126579:28387841	1.69681	1.99513	1.78805
FBXO25	8:294039:594234	1.60825	1.9551	1.76813
FBXO38	5:147792151:148865536	1.6768	2.04983	1.89708
FBXO39	17:6538669:6858363	1.24021	1.91588	1.7873
FBXW11	5:170620625:172971287	1.67686	1.96075	1.89871
FBXW12	3:47535626:48696317	1.67564	1.99747	2.03961
FCHSD1	5:140558722:142267353	1.69213	2.00971	1.94207
FER1L4	20:34168532:34173998	1.60096	1.95869	2.0574
FER1L5	2:95347033:97767092	1.68725	1.96244	2.04621
FEZF2	3:61654107:62611392	1.14781	2.08545	2.07774
FFAR3	19:35850424:35863727	1.49347	1.92407	1.79579
FGD5	3:14296571:15708124	1.68739	2.07287	2.08622
FGF1	5:140558722:142267353	1.69213	2.00971	1.94207
FGF11	17:7340887:7539414	1.31731	1.91588	1.7873
FGF18	5:170620625:172971287	1.67686	1.96075	1.89871
FGFR1	8:38238449:38447984	1.65263	2.00175	1.79175
FGFR3	4:1526110:1865869	1.67705	2.08115	1.89373
FGFR4	5:175627914:176530427	1.67425	1.96064	1.89871
FGFRL1	4:572655:1047300	1.64352	2.00152	1.83265
FGGY	1:59152484:59975446	1.67249	2.06101	2.2264
FGL1	8:17476654:17747813	1.66701	2.15928	1.8097
FHIT	3:60054903:60060720	1.2063	2.08545	1.79756
FHIT	3:60060720:60111444	1.2063	2.08545	2.07215
FHIT	3:59731849:60054903	1.2063	2.08545	2.07937
FHL2	2:104934246:106881954	1.68099	2.05907	2.09794
FLJ22536	6:22052296:22053168	0.068022	2.11772	1.83701
FLJ22536	6:22053168:22054437	0.077457	2.11772	1.83701
FLJ22536	6:22048951:22052296	0.19691	2.11772	1.83701
FLJ27354	1:89501879:90466617	1.67596	2.1138	1.80887
FLJ33630	5:127409337:127415641	0.085225	2.26294	1.94425
FLJ42351	2:113099520:113502283	1.66333	2.01071	2.07995
FLT4	5:178840002:180560627	1.68912	1.9784	1.90759
FNBP4	11:47375476:48347141	1.67603	1.97122	1.82055
FNTA	8:42193497:43089838	1.69095	2.03669	1.82701
FOXD4L1	2:114196006:114264452	1.33501	2.02783	2.04608
FOXH1	8:145562163:145755043	1.67689	2.10329	2.05929
FOXI1	5:169440739:170129794	1.64681	1.95702	1.89871
FPGT	1:73998428:75036011	1.68585	2.29694	1.82705
FPGT-TNNI3K	1:73998428:75036011	1.68585	2.29694	1.82705
FRMD3	9:86055525:86073376	1.3877	2.11551	1.80416
FRMD4A	10:13818939:13819952	1.61405	2.03838	2.06794
FXR2	17:7340887:7539414	1.31731	1.91588	1.7873
FXYD6	11:117712428:117730483	1.33577	1.93325	2.16894
FXYD6-FXYD2	11:117712428:117730483	1.33577	1.93325	2.16894
FZD3	8:28126579:28387841	1.69681	1.99513	1.78805
GABARAP	17:7082224:7336565	1.26521	1.91588	1.7873
GABBR2	9:101308584:101312225	0.083207	1.95203	1.78731
GABRA1	5:160599086:161539331	1.68278	2.25609	1.93814
GABRA6	5:160599086:161539331	1.68278	2.25609	1.93814
GABRB2	5:160599086:161539331	1.68278	2.25609	1.93814
GABRG2	5:161539331:161543730	1.18979	2.25609	1.93814
GABRG2	5:161543730:162856484	1.67697	2.25609	1.93814
GABRG2	5:160599086:161539331	1.68278	2.25609	1.93814
GABRP	5:170133120:170304034	1.67686	1.95702	1.89871
GADD45A	1:67779233:68712852	1.68421	2.07912	1.81763
GADL1	3:30640832:32097463	1.64525	2.1995	2.14328
GAK	4:572655:1047300	1.64352	2.00152	1.83265
GALNT10	5:153450434:155308479	1.67562	2.0197	1.89708
GBE1	3:80130768:81701658	1.65525	2.23692	2.19262
GBP1	1:89501879:90466617	1.67596	2.1138	1.80887
GBP1P1	1:89501879:90466617	1.67596	2.1138	1.80887
GBP2	1:89501879:90466617	1.67596	2.1138	1.80887
GBP3	1:89478753:89501879	1.67596	1.7175	1.80887
GBP3	1:89102024:89478753	1.67596	2.21814	1.80887
GBP4	1:89501879:90466617	1.67596	2.1138	1.80887
GBP5	1:89501879:90466617	1.67596	2.1138	1.80887
GBP6	1:89501879:90466617	1.67596	2.1138	1.80887
GBP7	1:89501879:90466617	1.67596	2.1138	1.80887
GCC2	2:108282388:109763249	1.68933	2.08047	2.09757
GEMIN5	5:153450434:155308479	1.67562	2.0197	1.89708
GEMIN8P4	1:89501879:90466617	1.67596	2.1138	1.80887
GFPT2	5:178840002:180560627	1.68912	1.9784	1.90759
GFRA3	5:137412874:138624219	1.69358	2.01947	1.92597
GLI2	2:120914585:121797376	1.63996	1.90279	2.0445
GLI4	8:144293611:144629387	1.66603	2.05011	2.04731
GLIS3	9:3958257:3965747	1.47192	2.04867	1.78212
GLT8D1	3:51607294:52968763	1.66753	1.99747	2.06588
GLTPD2	17:4633013:5044333	1.2158	1.93708	1.79799
GLYCTK	3:51607294:52968763	1.66753	1.99747	2.06588
GML	8:143740883:143961262	1.59909	2.05011	1.99732
GNB2L1	5:180569924:180674985	1.55195	1.89884	1.90759
GNG12	1:67779233:68712852	1.68421	2.07912	1.81763
GNG7	19:2701583:2707666	1.46205	1.81286	2.07102
GNL3	3:51607294:52968763	1.66753	1.99747	2.06588
GNPDA1	5:140558722:142267353	1.69213	2.00971	1.94207
GNRH2	20:3020321:3030273	1.21565	1.97711	2.07419
GOLGA8A	15:34702891:34726052	1.64164	2.1236	1.81428
GOLGA8B	15:34757291:34862220	1.64164	2.07486	1.81444
GORASP1	3:38277483:39908110	1.66493	2.05372	2.06214
GP1BA	17:4633013:5044333	1.2158	1.93708	1.79799
GPAA1	8:144754082:145550053	1.67689	2.15665	2.05929
GPAT2	2:95347033:97767092	1.68725	1.96244	2.04621
GPCPD1	20:5297829:5526971	1.65055	1.99584	2.09476
GPCPD1	20:5590677:5840089	1.65055	2.05718	2.09476
GPD1L	3:32106869:32566287	1.65745	2.1995	2.14326
GPIHBP1	8:144293611:144629387	1.66603	2.05011	2.04731
GPR12	13:27315717:27364949	1.61215	2.0901	1.79579
GPR148	2:131130185:131617304	1.68655	2.02338	2.03595
GPR17	2:127678163:128445127	1.64576	1.99062	2.07046
GPR20	8:140761604:142558690	1.63586	2.05011	1.99732
GPR39	2:133157730:134828185	1.65333	2.07759	2.07881
GPR45	2:104934246:106881954	1.68099	2.05907	2.09794
GPR62	3:51607294:52968763	1.66753	1.99747	2.06588
GPRIN1	5:175627914:176530427	1.67425	1.96064	1.89871
GPS2	17:7082224:7336565	1.26521	1.91588	1.7873
GPT	8:145562163:145755043	1.67689	2.10329	2.05929
GPX3	5:150283167:150463256	1.65572	1.94467	1.89708
GRIK3	1:37424247:37425805	1.42121	1.97784	2.19218
GRINA	8:144754082:145550053	1.67689	2.15665	2.05929
GRIP2	3:14296571:15708124	1.68739	2.07287	2.08622
GRK6	5:176548393:177233989	1.67425	1.9784	1.88754
GRM2	3:51607294:52968763	1.66753	1.99747	2.06588
GRM6	5:178260527:178827384	1.60403	1.9784	1.8895
GRPEL2	5:147792151:148865536	1.6768	2.04983	1.89708
GRXCR2	5:143542885:145638518	1.69213	2.15723	1.94207
GSDMC	8:130532900:131061502	1.67947	2.16719	2.06821
GSDMD	8:144629387:144636233	0.139456	2.05011	2.04731
GSDMD	8:144636233:144675877	1.67689	2.05011	2.04731
GTDC1	2:144110054:146718498	1.63594	2.20482	2.14504
GTF2B	1:89102024:89478753	1.67596	2.21814	1.80887
GTF2H1	11:18306159:18717028	1.68944	2.18696	1.7965
GUCY2D	17:7796391:8051664	1.2649	1.94168	1.7873
GUCY2GP	10:114112624:114119183	0.062637	2.01644	1.80666
GVINP1	11:6723067:6736356	1.13108	2.15861	1.77253
GYLTL1B	11:45434889:46023558	1.66024	1.99414	1.80671
GYPC	2:127128997:127516185	1.65954	2.13863	2.07046
H2AFY	5:134068699:135087461	1.67765	1.98113	1.94425
HACL1	3:14296571:15708124	1.68739	2.07287	2.08622
HAND1	5:153450434:155308479	1.67562	2.0197	1.89708
HARBI1	11:46606351:46722521	1.68501	1.96974	2.22346
HARS	5:139920049:140083166	1.69358	1.93456	1.9284
HARS2	5:139920049:140083166	1.69358	1.93456	1.9284
HBEGF	5:139511834:139785729	1.69358	2.00003	1.9284
HCG22	6:31023160:31023854	1.15551	1.89085	2.14733
HDAC11	3:13325280:14178112	1.68843	2.07287	2.0475
HDAC3	5:140558722:142267353	1.69213	2.00971	1.94207
HES7	17:7796391:8051664	1.2649	1.94168	1.7873
HFM1	1:90495783:91849001	1.67596	2.1189	1.80887
HGSNAT	8:42193497:43089838	1.69095	2.03669	1.82701
HHATL	3:42374907:43196701	1.66493	2.04915	2.05623
HHLA1	8:133027479:133330815	1.67947	2.12568	2.08256
HHLA3	1:70819645:70824336	1.68421	1.77228	1.81763
HHLA3	1:70824336:71108280	1.68421	2.24634	1.81763
HIC1	17:1914222:2262139	1.68544	1.95234	1.79799
HIGD1A	3:42374907:43196701	1.66493	2.04915	2.05623
HIGD2A	5:175627914:176530427	1.67425	1.96064	1.89871
HK3	5:175627914:176530427	1.67425	1.96064	1.89871
HLA-DPB1	6:33048698:33051887	1.56807	2.01202	1.95384
HMGB1	13:31032558:31044932	1.67158	1.95858	1.79579
HMGCLL1	6:55279985:55300505	1.55647	2.25326	2.16012
HMGXB3	5:148895313:150177109	1.6768	1.99311	1.89708
HMHB1	5:142635216:143517676	1.69213	2.19848	1.94207
HMMR	5:162862965:163264985	1.66882	2.25609	1.93814
HNMT	2:137427976:140165739	1.65333	2.17476	2.11981
HNRNPA0	5:136870318:137154623	1.69358	1.99804	1.92597
HNRNPAB	5:177407387:178118821	1.67594	1.9784	1.8895
HNRNPH1	5:178840002:180560627	1.68912	1.9784	1.90759
HOOK3	8:42193497:43089838	1.69095	2.03669	1.82701
HPS1	10:100182954:100190592	1.59743	2.02364	1.78882
HPS5	11:18306159:18717028	1.68944	2.18696	1.7965
HPSE2	10:100686966:100700262	1.15949	2.27753	1.77061
HPYR1	8:133352785:133783098	1.67947	2.12568	2.03356
HRH2	5:174132091:175495812	1.69766	2.0476	1.89871
HS2ST1	1:87122399:88231174	1.67596	2.08417	1.79956
HS3ST3A1	17:13250353:13531436	1.60884	2.10258	1.76456
HS6ST1	2:128518170:129639960	1.64576	2	2.07046
HSF1	8:144754082:145550053	1.67689	2.15665	2.05929
HSF2BP	21:44967029:44980131	0.110355	2.17095	2.20345
HSPA9	5:137412874:138624219	1.69358	2.01947	1.92597
HTATIP2	11:20132635:20431468	1.68944	2.10262	1.7965
HTR4	5:147792151:148865536	1.6768	2.04983	1.89708
HTRA4	8:38466185:38857139	1.65263	2.00175	1.84392
IDO1	8:39695072:39806723	1.65263	2.03669	1.84392
IDO2	8:39695072:39806723	1.65263	2.03669	1.84392
IDUA	4:572655:1047300	1.64352	2.00152	1.83265
IFLTD1	12:25703883:25734009	1.35193	2.18092	2.15077
IFT52	20:42268425:42273350	0.221246	2.01473	2.01815
IFT52	20:42273350:42302379	1.36587	2.01473	2.01815
IK	5:139920049:140083166	1.69358	1.93456	1.9284
IL12B	5:158717116:158775112	1.68278	2.0108	1.86866
IL12RB2	1:67779233:68712852	1.68421	2.07912	1.81763
IL12RB2	1:67313962:67779233	1.68421	2.28543	1.81763
IL17B	5:147792151:148865536	1.6768	2.04983	1.89708
IL18R1	2:102972666:102994799	1.62656	2.02415	2.09794
IL18R1	2:103000190:103024495	1.62656	2.17337	2.09794
IL18RAP	2:103035722:103040172	1.62656	1.89895	2.09794
IL18RAP	2:103055556:103072724	1.62656	1.95364	2.09794
IL18RAP	2:103040172:103055556	1.62656	2.24396	2.09794
IL1A	2:113518875:113609035	1.66333	1.94081	2.07995
IL1B	2:113518875:113609035	1.66333	1.94081	2.07995
IL1F10	2:113622758:114048100	1.66333	2.02783	2.04608
IL1R1	2:102731609:102910970	1.62656	1.98673	2.03777
IL1R2	2:102055388:102726009	1.65462	2.01708	2.03777
IL1RL1	2:102920630:102967421	1.62656	2.09265	2.03777
IL1RL2	2:102731609:102910970	1.62656	1.98673	2.03777
IL1RN	2:113622758:114048100	1.66333	2.02783	2.04608
IL23R	1:67313962:67779233	1.68421	2.28543	1.81763
IL9	5:135170351:135264095	1.60996	1.92212	1.86668
IMP4	2:130958416:131111213	1.68655	1.98916	2.03595
IMPAD1	8:57118099:58114845	1.63179	2.11491	1.79694
INCA1	17:4633013:5044333	1.2158	1.93708	1.79799
INHBB	2:120914585:121797376	1.63996	1.90279	2.0445
INPP4A	2:98156083:101009015	1.65462	2.05963	2.07677
INPP4B	4:143233161:143337480	1.67151	2.24297	1.87737
INPP5K	17:1368790:1551489	1.69103	1.95441	1.7951
INSIG2	2:118863131:120622975	1.63996	1.97842	2.05722
INSIG2	2:116664763:118863131	1.63996	2.19687	2.05722
IP6K2	3:48721867:48920341	1.66753	1.99747	2.03961
IQCF1	3:51607294:52968763	1.66753	1.99747	2.06588
IQCF2	3:51607294:52968763	1.66753	1.99747	2.06588
IQCF3	3:51607294:52968763	1.66753	1.99747	2.06588
IQCF5	3:51607294:52968763	1.66753	1.99747	2.06588
IQCF6	3:51607294:52968763	1.66753	1.99747	2.06588
IQSEC1	3:12577120:13141194	1.68843	2.07805	2.07417
IRGM	5:150223313:150256118	1.65572	1.99311	1.89708
ISOC1	5:127415641:129655698	1.68439	2.26294	1.94425
ITGA9	3:37454107:38176720	1.65745	2.04981	2.03965
ITIH1	3:51607294:52968763	1.66753	1.99747	2.06588
ITIH3	3:51607294:52968763	1.66753	1.99747	2.06588
ITIH4	3:51607294:52968763	1.66753	1.99747	2.06588
ITPR1	3:3483773:4994260	1.65203	2.06624	2.06499
ITPRIPL1	2:95347033:97767092	1.68725	1.96244	2.04621
IWS1	2:127678163:128445127	1.64576	1.99062	2.07046
IZUMO1	19:49236321:49245543	1.49266	1.91616	1.78806
JAKMIP2	5:146757872:147270646	1.6768	2.15723	1.94207
JRK	8:143720546:143740883	1.22962	2.05011	1.99732
JRK	8:143740883:143961262	1.59909	2.05011	1.99732
JUN	1:59152484:59975446	1.67249	2.06101	2.2264
KBTBD11	8:1951737:2033633	1.64551	1.98683	1.78993
KBTBD11	8:1838342:1949662	1.64551	2.07206	1.78993
KBTBD4	11:47375476:48347141	1.67603	1.97122	1.82055
KBTBD8	3:66995632:68635435	1.68135	2.16587	2.08355
KCNAB3	17:7796391:8051664	1.2649	1.94168	1.7873
KCNC1	11:17373978:18098884	1.68944	1.945	1.7965
KCNIP1	5:170129794:170133120	0.128877	1.95702	1.89871
KCNIP1	5:169440739:170129794	1.64681	1.95702	1.89871
KCNIP1	5:170133120:170304034	1.67686	1.95702	1.89871
KCNIP3	2:95347033:97767092	1.68725	1.96244	2.04621
KCNJ11	11:17373978:18098884	1.68944	1.945	1.7965
KCNK9	8:140259159:140759702	1.63586	2.05011	2.00392
KCNMB1	5:169440739:170129794	1.64681	1.95702	1.89871
KCNN2	5:113129229:114009543	1.68008	2.16423	2.23957
KCNQ3	8:133352785:133783098	1.67947	2.12568	2.03356
KCNQ3	8:133027479:133330815	1.67947	2.12568	2.08256
KCTD11	17:7082224:7336565	1.26521	1.91588	1.7873
KCTD16	5:143542885:145638518	1.69213	2.15723	1.94207
KDM3B	5:137412874:138624219	1.69358	2.01947	1.92597
KDM6B	17:7582226:7776934	1.2649	1.91588	1.7873
KHDRBS3	8:135812482:137158384	1.67947	2.14055	2.03356
KIAA0141	5:140558722:142267353	1.69213	2.00971	1.94207
KIAA0753	17:6538669:6858363	1.24021	1.91588	1.7873
KIAA1191	5:175627914:176530427	1.67425	1.96064	1.89871
KIAA1456	8:12573979:13148878	1.66701	2.14652	1.78087
KIAA1875	8:144754082:145550053	1.67689	2.15665	2.05929
KIF16B	20:16240770:16565700	1.67314	2.02408	2.10585
KIF1C	17:4633013:5044333	1.2158	1.93708	1.79799
KIF20A	5:137412874:138624219	1.69358	2.01947	1.92597
KIF4B	5:153450434:155308479	1.67562	2.0197	1.89708
KIF5C	2:149204746:150778703	1.65719	2.15171	2.13347
KIF9	3:46850415:47487754	1.66493	2.01049	2.07878
KIFC2	8:145562163:145755043	1.67689	2.10329	2.05929
KIR2DS4	19:55342648:55354821	1.38649	1.7014	1.98039
KLF17	1:44567513:44587703	1.44899	1.97784	2.19218
KLHL18	3:46850415:47487754	1.66493	2.01049	2.07878
KLHL3	5:136870318:137154623	1.69358	1.99804	1.92597
KRBOX1	3:42374907:43196701	1.66493	2.04915	2.05623
LARP1	5:153450434:155308479	1.67562	2.0197	1.89708
LARS	5:143542885:145638518	1.69213	2.15723	1.94207
LCP2	5:169440739:170129794	1.64681	1.95702	1.89871
LCT	2:135071015:136658373	1.65333	2.08584	2.07442
LDHA	11:18306159:18717028	1.68944	2.18696	1.7965
LDHAL6A	11:18306159:18717028	1.68944	2.18696	1.7965
LDHC	11:18306159:18717028	1.68944	2.18696	1.7965
LECT2	5:135276757:135307439	1.60996	2.26762	1.90462
LETM1	4:1526110:1865869	1.67705	2.08115	1.89373
LETM2	8:38238449:38447984	1.65263	2.00175	1.79175
LHX8	1:75042346:76344001	1.68585	2.25956	1.82705
LILRA3	19:54800655:54807042	0.462636	2.00447	1.74484
LIMS1	2:108282388:109763249	1.68933	2.08047	2.09757
LIMS2	2:127678163:128445127	1.64576	1.99062	2.07046
LINGO2	9:28047582:28051932	1.41586	2.13384	1.82106
LIPT1	2:98156083:101009015	1.65462	2.05963	2.07677
LMAN2	5:176548393:177233989	1.67425	1.9784	1.88754
LMAN2L	2:95347033:97767092	1.68725	1.96244	2.04621
LMO4	1:87122399:88231174	1.67596	2.08417	1.79956
LONRF1	8:12573979:13148878	1.66701	2.14652	1.78087
LONRF2	2:98156083:101009015	1.65462	2.05963	2.07677
LRIG1	3:66496173:66922175	1.68135	2.09516	2.08355
LRIG1	3:65217449:66469679	1.68135	2.09906	2.08355
LRP1B	2:142186880:142209660	1.2379	2.27679	2.1977
LRP1B	2:142209660:142230231	1.64622	2.27679	2.1977
LRP1B	2:141924721:142186880	1.65333	2.27679	2.1977
LRP4	11:46872549:47375476	1.67603	1.97122	2.21089
LRRC14	8:145562163:145755043	1.67689	2.10329	2.05929
LRRC24	8:145562163:145755043	1.67689	2.10329	2.05929
LRRC56	11:553146:561646	1.40621	1.98615	1.8238
LRRC6	8:133352785:133783098	1.67947	2.12568	2.03356
LRRC7	1:68712852:70522995	1.68421	2.25202	1.81763
LRRC8B	1:89501879:90466617	1.67596	2.1138	1.80887
LRRC8C	1:89501879:90466617	1.67596	2.1138	1.80887
LRRC8D	1:89501879:90466617	1.67596	2.1138	1.80887
LRRIQ3	1:73998428:75036011	1.68585	2.29694	1.82705
LRRN1	3:3483773:4994260	1.65203	2.06624	2.06499
LRRTM2	5:137412874:138624219	1.69358	2.01947	1.92597
LSG1	3:194373649:194398868	1.6172	2.22929	2.10459
LSM3	3:14180987:14290360	1.68739	2.07287	2.0475
LTBP1	2:33223812:33227739	0.065892	2.14309	2.12618
LTC4S	5:178840002:180560627	1.68912	1.9784	1.90759
LY6D	8:143740883:143961262	1.59909	2.05011	1.99732
LY6K	8:143740883:143961262	1.59909	2.05011	1.99732
LYG1	2:98156083:101009015	1.65462	2.05963	2.07677
LYG2	2:98156083:101009015	1.65462	2.05963	2.07677
LYN	8:55433212:57078177	1.64993	2.11491	1.78276
LYNX1	8:143740883:143961262	1.59909	2.05011	1.99732
LYPD1	2:133157730:134828185	1.65333	2.07759	2.07881
LYPD2	8:143740883:143961262	1.59909	2.05011	1.99732
LYPD6	2:149204746:150778703	1.65719	2.15171	2.13347
LYPD6B	2:149204746:150778703	1.65719	2.15171	2.13347
LYPLA1	8:54125263:55210088	1.66839	2.11491	1.78276
LYZL4	3:42374907:43196701	1.66493	2.04915	2.05623
LZTS1	8:19974303:20348673	1.66701	1.96745	1.82728
MACROD2	20:15452926:15473443	1.14901	2.10752	2.12057
MACROD2	20:15354737:15452926	1.64124	2.10752	2.12057
MACROD2	20:15303672:15330517	1.64124	2.1616	2.12057
MADD	11:46872549:47375476	1.67603	1.97122	2.21089
MAEA	4:1296862:1418443	1.67705	1.98254	1.79118
MAEA	4:1244118:1290145	1.67705	1.98254	1.82664
MAF1	8:144754082:145550053	1.67689	2.15665	2.05929
MAFA	8:144293611:144629387	1.66603	2.05011	2.04731
MAGI1	3:65217449:66469679	1.68135	2.09906	2.08355
MAL	2:95347033:97767092	1.68725	1.96244	2.04621
MAML1	5:178840002:180560627	1.68912	1.9784	1.90759
MAML2	11:95650780:96001240	0.618211	2.12088	2.18709
MAP2K7	19:7971625:7987917	1.40399	2.20721	2.03521
MAP3K2	2:127678163:128445127	1.64576	1.99062	2.07046
MAP4	3:47535626:48696317	1.67564	1.99747	2.03961
MAP4K4	2:102055388:102726009	1.65462	2.01708	2.03777
MAPK15	8:144754082:145550053	1.67689	2.15665	2.05929
MAPK8IP1	11:45434889:46023558	1.66024	1.99414	1.80671
MAPK9	5:178840002:180560627	1.68912	1.9784	1.90759
MARCO	2:118863131:120622975	1.63996	1.97842	2.05722
MAT2B	5:162862965:163264985	1.66882	2.25609	1.93814
MATR3	5:137412874:138624219	1.69358	2.01947	1.92597
MBD5	2:149200786:149204746	1.65719	2.15171	1.72157
MBD5	2:148826896:149200786	1.65719	2.15171	2.12552
MBD5	2:149204746:150778703	1.65719	2.15171	2.13347
MCC	5:111242232:113090174	1.68008	2.16423	2.21207
MCM6	2:135071015:136658373	1.65333	2.08584	2.07442
MCPH1	8:6160277:6825278	1.62172	1.98116	1.75648
MDK	11:46395417:46606351	1.68501	1.96974	1.80671
MED11	17:4633013:5044333	1.2158	1.93708	1.79799
MED31	17:6538669:6858363	1.24021	1.91588	1.7873
MEIS3P1	17:15660193:15790210	1.62746	2.0206	1.83687
MERTK	2:112634675:112856903	1.2484	2.08047	2.09757
METAP1D	2:172904077:172913464	1.42434	2.15972	2.14085
METTL6	3:14296571:15708124	1.68739	2.07287	2.08622
MFF	2:228178302:228474049	1.67227	2.20054	1.81942
MFHAS1	8:8565213:8749000	1.69859	2.01009	1.80946
MFHAS1	8:8751052:8967038	1.69859	2.03346	1.80946
MFSD3	8:145562163:145755043	1.67689	2.10329	2.05929
MFSD7	4:572655:1047300	1.64352	2.00152	1.83265
MFSD9	2:103076388:103334976	1.62656	2.04578	2.09794
MGAT1	5:178840002:180560627	1.68912	1.9784	1.90759
MGAT4A	2:98156083:101009015	1.65462	2.05963	2.07677
MGAT4B	5:178840002:180560627	1.68912	1.9784	1.90759
MGAT5	2:134898215:135056759	1.65333	2.07759	2.07442
MGAT5	2:135071015:136658373	1.65333	2.08584	2.07442
MICAL2	11:11976659:12316237	1.68944	1.94344	1.81756
MICALCL	11:11976659:12316237	1.68944	1.94344	1.81756
MICALCL	11:12316237:12400184	1.68944	2.18271	1.81756
MIER1	1:67313962:67779233	1.68421	2.28543	1.81763
